"","Country","Output","Industry","Top","Input","Correlation","Oppotunities","nombre clients corr","Rapport","tests input"
"72","France","FT4","Prv","top5","PSA","0.916536608581286","2","163","0.7245",2438354
"73","France","HBA1C","Prv","base","GLU","0.87686769570282","208","23","0.3428",11896215
"74","France","HBA1C","Prv","top1","AFP","0.953915251246433","121","19","17.9809",193036
"75","France","HBA1C","Prv","top2","PTH","0.932021795796131","83","18","8.2651",272001
"76","France","HBA1C","Prv","top3","CHOL","0.913229858862467","176","23","0.575",7774716
"77","France","HBA1C","Prv","top4","HDL-C","0.91245508303588","175","23","0.5964",7438555
"78","France","HBA1C","Prv","top5","TRIGL","0.912410144598569","175","23","0.5726",7892954
"79","France","HBV quant.","Prv","base",NA,NA,NA,NA,NA,NA
"80","France","HBV quant.","Prv","top1","CT/NG qual.","0.793145863893192","5","7","0.0592",309097
"81","France","HBV quant.","Prv","top2",NA,NA,NA,NA,NA,NA
"82","France","HBV quant.","Prv","top3",NA,NA,NA,NA,NA,NA
"83","France","HBV quant.","Prv","top4",NA,NA,NA,NA,NA,NA
"84","France","HBV quant.","Prv","top5",NA,NA,NA,NA,NA,NA
"85","France","hCT","Prv","base","Anti-TPO","0.911216050306488","89","19","0.2144",270260
"86","France","hCT","Prv","top1","Anti-HAV IgM","0.949726280112482","91","16","1.021",53420
"87","France","hCT","Prv","top2","Beta-CrossLaps","0.947184869535906","34","16","0.4833",68386
"88","France","hCT","Prv","top3","CA 19-9","0.944868840030768","115","18","0.2673",239285
"89","France","hCT","Prv","top4","FOLATE","0.925919420777252","113","18","0.0731",969375
"90","France","hCT","Prv","top5","Syphilis","0.923119396772182","75","15","0.0706",624428
"91","France","HE4","Prv","base","CA 125","0.991995773618669","129","3","0.1102",135192
"92","France","HE4","Prv","top1",NA,NA,NA,NA,NA,NA
"93","France","HE4","Prv","top2",NA,NA,NA,NA,NA,NA
"94","France","HE4","Prv","top3",NA,NA,NA,NA,NA,NA
"95","France","HE4","Prv","top4",NA,NA,NA,NA,NA,NA
"96","France","HE4","Prv","top5",NA,NA,NA,NA,NA,NA
"97","France","HGH","Prv","base","ACTH",NA,"16","1",NA,14483
"98","France","HGH","Prv","top1",NA,NA,NA,NA,NA,NA
"99","France","HGH","Prv","top2",NA,NA,NA,NA,NA,NA
"100","France","HGH","Prv","top3",NA,NA,NA,NA,NA,NA
"101","France","HGH","Prv","top4",NA,NA,NA,NA,NA,NA
"102","France","HGH","Prv","top5",NA,NA,NA,NA,NA,NA
"103","France","IGF-1","Prv","base","ACTH",NA,"16","1",NA,14483
"104","France","IGF-1","Prv","top1",NA,NA,NA,NA,NA,NA
"105","France","IGF-1","Prv","top2",NA,NA,NA,NA,NA,NA
"106","France","IGF-1","Prv","top3",NA,NA,NA,NA,NA,NA
"107","France","IGF-1","Prv","top4",NA,NA,NA,NA,NA,NA
"108","France","IGF-1","Prv","top5",NA,NA,NA,NA,NA,NA
"109","France","INS","Prv","base","CORT","0.852479418469507","116","11","0.522",196544
"110","France","INS","Prv","top1","IgG","0.994732999201192","93","9","0.5022",150001
"111","France","INS","Prv","top2","IgM","0.994572486650112","93","9","0.4588",148183
"112","France","INS","Prv","top3","IgA","0.994360540895693","92","9","0.3742",183946
"113","France","INS","Prv","top4","Anti-TSHR","0.99310144197471","43","8","0.376",116204
"114","France","INS","Prv","top5","Testosterone","0.987034154808193","89","11","0.5802",162878
"115","France","Osteocalcin","Prv","base","Beta-CrossLaps","0.778483269798103","43","7","0.2292",68386
"116","France","Osteocalcin","Prv","top1","Testosterone","0.962182618046145","92","8","0.1471",162878
"117","France","Osteocalcin","Prv","top2","HGLOB","0.948677953828451","97","7","0.4503",75685
"118","France","Osteocalcin","Prv","top3","Rubella IgG","0.882295232766272","129","7","0.0724",412040
"119","France","Osteocalcin","Prv","top4","PRL","0.812792763524098","135","8","0.1351",217074
"120","France","Osteocalcin","Prv","top5","Beta-CrossLaps","0.778483269798103","43","7","0.2292",68386
"121","France","ProBNP","Prv","base","TNT","0.686312207485694","5","201","1.9197",750574
"122","France","ProBNP","Prv","top1","Anti-HAV IgM","0.775071355068501","7","100","17.7482",53420
"123","France","ProBNP","Prv","top2","LIP","0.765343234840745","28","200","1.2868",1082195
"124","France","ProBNP","Prv","top3","Anti-HBc","0.747163006513552","8","138","1.1477",1032825
"125","France","ProBNP","Prv","top4","HBsAg","0.746743746420894","8","144","0.9594",1260778
"126","France","ProBNP","Prv","top5","PTH","0.743517712164766","9","92","2.9924",272001
"127","France","PTH","Prv","base","Vit D Total","0.91527564333633","43","88","0.2495",1320702
"128","France","PTH","Prv","top1","TPLA","0.970851694720287","3","10","0.3372",66482
"129","France","PTH","Prv","top2","Anti-TPO","0.953993958062623","36","72","1.4859",270260
"130","France","PTH","Prv","top3","Anti-TG","0.94831946051446","37","72","1.7433",226722
"131","France","PTH","Prv","top4","Anti-TSHR","0.9469617260773","24","27","3.5465",116204
